text,true,pred
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,sadness
i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,love,joy
i feel my heart is tortured by what i have done,anger,fear
i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,fear,anger
i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,joy,sadness
i feel very mislead by someone that i really really thought i knew and liked very much so,love,sadness
im feeling generous today heres one more you may have already seen but is good for a chuckle,love,joy
im feeling rather angsty and listless,sadness,joy
i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,surprise,fear
i feel blessed to know this family,love,joy
i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,anger,sadness
i love to dance but often feel inhibited by my own body unsure what i am capable of hyper concerned about other people watching me and having opinions on my style or just feeling awkward as if i have no idea what i am supposed to do here,fear,sadness
i will practice meditation if i feel overwhelmed and hopefully become successful in peaceful practice,surprise,fear
i hope everyone can help with charity work without feeling stressed about such things,sadness,anger
i feel blessed beyond blessed to share my life with you each week,love,joy
i realized what i am passionate about helping women feel accepted and appreciated,joy,love
i feel so blessed and honored that we get to be its parents,love,joy
i just feel are ludicrous and wasting space or so trite they should have looked at the book first and come up with something a little more original,surprise,sadness
i was so impressed with the show especially for hs and i was moved by these talented kids but then again i feel very passionate about productions and music and theatre in schools so i am always happy to endorse many hs productions throughout their seasons during this time,love,joy
i just can t feel accepted,love,joy
i do feel stressed,sadness,anger
ive been feeling from my adoring fans that would be teh whole like of you who are my friends here i felt brave and excited and ventrured forth with guitar in hand to a local open mic night,love,joy
i feel agitated and annoyed more than worried or fearful but these feelings can easily lead to being short tempered with my family and feelings of disharmony,fear,anger
i could feel his breath on me and smell the sweet scent of him,joy,love
